대분류,중분류,최종점수,등급,사업용 자동차,등급,자전거 및 이륜차,등급,보행자,등급,교통약자,등급,운전자,등급,도로환경,등급
전남,장성군,83.08,B,83.23,B,82.53,D,83.21,B,82.52,C,83.26,B,83.75,C
전남,장흥군,77.36,D,80.26,D,83.44,C,77.82,D,69.9,E,77.11,D,75.64,D
전남,진도군,83.71,B,83.29,A,84.48,A,82.09,C,82.69,C,84.44,A,85.28,B
전남,함평군,76.59,E,80.95,D,81.04,D,84.12,B,53.6,E,82.26,C,77.55,D
전남,해남군,79.55,D,80.5,D,79.24,D,84.27,B,79.4,D,71.37,E,82.51,C
전남,화순군,83.36,B,83.01,C,84.21,B,82.62,C,83.26,B,82.72,B,84.31,C
전북,고창군,80.9,D,83.25,B,77.76,D,76.43,E,79.38,D,84.35,A,84.24,C
전북,군산시,76.3,D,73.44,E,82.38,C,72.04,E,77.25,D,75.26,D,77.46,C
전북,김제시,80.91,B,79.62,C,82.96,B,83.01,B,82.85,B,78.01,D,79.03,C
전북,남원시,81.43,B,83.26,A,81.74,C,82.76,B,81.83,B,77.37,D,81.62,C
전북,무주군,81.84,C,83.25,B,76.24,D,83.02,C,84.61,B,79.53,D,84.37,B
전북,부안군,76.1,E,83.22,B,59.05,E,78.39,D,77.16,D,81.7,C,77.08,D
전북,순창군,79.8,D,80.24,D,73.03,E,81.95,C,79.33,D,81.08,C,83.2,C
전북,완주군,81.31,C,80.7,D,82.86,C,81.87,C,79.71,D,83.59,B,79.11,D
전북,익산시,76.36,D,76.73,D,72.86,E,75.22,D,78.14,C,78.27,C,76.96,D
전북,임실군,82.4,C,83.11,C,84.49,A,81.83,C,79.57,D,82.65,C,82.73,C
전북,장수군,82.45,C,83.28,A,83.64,C,72.94,E,85.23,A,84.8,A,84.78,B
전북,전주시,70.31,D,76.11,C,73.5,C,71.63,D,70.1,D,67.18,D,63.37,D
전북,정읍시,79.89,C,77.81,D,80.5,D,82.9,B,78.12,D,80.39,C,79.63,C
전북,진안군,83.44,B,83.28,A,84.48,A,83.49,B,81.76,C,83.51,B,84.12,C
제주,서귀포시,74.92,E,71.97,E,81.03,C,80.62,C,74.55,D,69.81,E,71.55,E
제주,제주시,70.9,D,60.36,E,78.05,B,74.36,D,72.73,C,72.08,C,67.79,C
충남,계룡시,84.05,A,83.3,A,84.48,A,81.02,C,84.79,A,84.63,A,86.09,A
충남,공주시,80.89,C,78.85,D,83.08,B,79.86,C,79.46,C,81.49,C,82.61,B
충남,금산군,82.71,C,81.49,D,79.07,D,84.03,B,85.17,A,83.81,A,82.7,C
충남,논산시,76.14,D,72.96,E,78.98,D,75.49,D,76.64,D,80.17,C,72.62,D
충남,당진시,63.86,E,75.25,D,73.45,E,75.12,D,41.47,E,69.71,E,48.15,E
충남,보령시,78.27,D,82.95,B,81.1,C,77.1,D,74.19,D,76.59,D,77.7,C
충남,부여군,79.44,D,80.72,D,82.72,C,78.42,D,78.4,D,78.63,D,77.75,D
충남,서산시,76.92,D,79.18,C,80.02,D,78.12,D,81.11,C,69.32,E,73.77,D
충남,서천군,73.43,E,70.81,E,62.1,E,81.43,C,77.44,D,75.44,D,73.34,E
충남,아산시,75.33,B,73.95,C,77.06,C,80.03,B,75.65,B,72.68,C,72.59,B
충남,예산군,71.01,E,75.06,E,66.55,E,78.23,D,73.27,D,68.86,E,64.08,E
충남,천안시,73.26,C,71.83,D,76.22,C,76.66,C,76.67,B,67.9,D,70.3,C
충남,청양군,82.85,B,80.93,D,84.33,B,80.24,D,81.52,C,83.53,B,86.53,A
충남,태안군,75.87,E,83,C,68.49,E,82.28,C,68.02,E,78.63,D,74.78,E
충남,홍성군,81.64,C,78.38,E,82.77,C,78.93,D,83.86,B,82.41,C,83.5,C
충북,괴산군,83.61,B,83.2,B,82.55,C,84.22,B,85.23,A,80.87,C,85.58,B
충북,단양군,83.86,A,83.1,C,83.62,C,84.44,A,83.66,B,81.99,C,86.36,A
충북,보은군,83.7,B,83.27,B,83.71,C,81.65,C,84.78,B,83.57,B,85.26,B
충북,영동군,83.33,B,83.06,C,83.75,B,84.36,B,83.1,B,79.35,D,86.33,B
충북,옥천군,82.25,C,81.6,D,81.99,D,82.3,C,83.63,B,80.56,C,83.44,C
충북,음성군,79.8,D,81.55,D,73.18,E,80.73,D,83.04,B,77.68,D,82.64,C
충북,제천시,78.59,C,81.96,B,80.66,C,81.76,B,72.98,D,73.87,D,80.31,C
충북,증평군,82.54,C,83.16,C,83.61,C,83.21,B,81.2,C,79.1,D,84.97,B
충북,진천군,78.81,D,75.11,E,84.19,B,81.14,C,78.07,D,79.41,D,74.92,D
충북,청주시,67.77,E,76.09,C,62.87,E,78.7,B,60.44,E,69.1,D,59.4,E
충북,충주시,78.62,C,82.56,B,76.92,D,82.98,B,78.03,D,75.64,D,75.6,D
